total_steps,total_reward,epsilon,total_q_values,total_loss
138,0.0,1.0,0.0,0.0
349,2.0,0.98758,0.0,0.0
589,3.0,0.96859,0.0,0.0
735,0.0,0.94699,0.0,0.0
910,1.0,0.93385,0.0,0.0
1139,2.0,0.9181,0.0,0.0
1291,0.0,0.89749,0.0,0.0
1437,0.0,0.88381,0.0,0.0
1801,5.0,0.87067,0.0,0.0
1932,0.0,0.8379099999999999,0.0,0.0
2274,5.0,0.82612,0.0,0.0
2497,2.0,0.7953399999999999,0.0,0.0
2647,0.0,0.77527,0.0,0.0
3019,5.0,0.76177,0.0,0.0
3242,2.0,0.72829,0.0,0.0
3473,2.0,0.70822,0.0,0.0
3627,0.0,0.68743,0.0,0.0
3780,0.0,0.67357,0.0,0.0
3914,0.0,0.6597999999999999,0.0,0.0
4067,0.0,0.64774,0.0,0.0
4487,6.0,0.6339699999999999,0.0,0.0
4716,2.0,0.59617,0.0,0.0
4989,3.0,0.57556,0.0,0.0
5224,2.0,0.55099,0.0,0.0
5632,5.0,0.52984,0.0,0.0
6040,5.0,0.49312,0.0,0.0
6195,0.0,0.45640000000000003,0.0,0.0
6359,0.0,0.44245,0.0,0.0
6728,4.0,0.42769,0.0,0.0
6914,0.0,0.39448000000000005,0.0,0.0
7098,0.0,0.37773999999999996,0.0,0.0
7316,2.0,0.36118000000000006,0.0,0.0
7789,9.0,0.34156,0.0,0.0
8119,4.0,0.29899,0.0,0.0
8297,0.0,0.2692899999999999,0.0,0.0
8519,2.0,0.25327,0.0,0.0
8821,4.0,0.23329,0.0,0.0
9021,0.0,0.2061099999999999,0.0,0.0
9282,0.0,0.18811,0.0,0.0
9504,0.0,0.16461999999999988,0.0,0.0
9827,2.0,0.14464,0.0,0.0
9992,0.0,0.11556999999999984,0.0,0.0
10383,2.0,0.10071999999999992,0.0,0.0
10742,3.0,0.1,0.0,0.0
11490,5.0,0.1,0.0,0.0
11965,4.0,0.1,0.0,0.0
12209,0.0,0.1,0.0,0.0
12746,0.0,0.1,0.0,0.0
13026,0.0,0.1,0.0,0.0
13188,0.0,0.1,0.0,0.0
13736,9.0,0.1,0.0,0.0
14100,2.0,0.1,0.0,0.0
14389,0.0,0.1,0.0,0.0
14586,0.0,0.1,0.0,0.0
15216,2.0,0.1,0.0,0.0
15744,9.0,0.1,0.0,0.0
16067,4.0,0.1,0.0,0.0
16456,2.0,0.1,0.0,0.0
16752,2.0,0.1,0.0,0.0
17078,3.0,0.1,0.0,0.0
17723,9.0,0.1,0.0,0.0
18121,0.0,0.1,0.0,0.0
18836,5.0,0.1,0.0,0.0
19091,0.0,0.1,0.0,0.0
19341,0.0,0.1,0.0,0.0
19582,0.0,0.1,0.0,0.0
20064,2.0,0.1,0.0,0.0
20577,0.0,0.1,0.0,0.0
21154,5.0,0.1,0.0,0.0
21407,0.0,0.1,0.0,0.0
21704,0.0,0.1,0.0,0.0
21924,0.0,0.1,0.0,0.0
22541,5.0,0.1,0.0,0.0
22885,3.0,0.1,0.0,0.0
23140,0.0,0.1,0.0,0.0
23763,9.0,0.1,0.0,0.0
24096,0.0,0.1,0.0,0.0
24568,5.0,0.1,0.0,0.0
24869,0.0,0.1,0.0,0.0
25101,2.0,0.1,0.0,0.0
25507,0.0,0.1,0.0,0.0
26162,5.0,0.1,0.0,0.0
26452,3.0,0.1,0.0,0.0
26956,0.0,0.1,0.0,0.0
27282,2.0,0.1,0.0,0.0
27569,0.0,0.1,0.0,0.0
27793,0.0,0.1,0.0,0.0
28215,2.0,0.1,0.0,0.0
28505,0.0,0.1,0.0,0.0
28886,2.0,0.1,0.0,0.0
29205,0.0,0.1,0.0,0.0
29696,4.0,0.1,0.0,0.0
29959,0.0,0.1,0.0,0.0
30221,3.0,0.1,0.0,0.0
30527,0.0,0.1,0.0,0.0
31020,3.0,0.1,0.0,0.0
31294,0.0,0.1,0.0,0.0
31655,2.0,0.1,0.0,0.0
31943,0.0,0.1,0.0,0.0
32197,0.0,0.1,0.0,0.0
32486,0.0,0.1,0.0,0.0
32711,0.0,0.1,0.0,0.0
33107,0.0,0.1,0.0,0.0
33364,0.0,0.1,0.0,0.0
33729,0.0,0.1,0.0,0.0
34061,2.0,0.1,0.0,0.0
34335,0.0,0.1,0.0,0.0
34739,5.0,0.1,0.0,0.0
35229,0.0,0.1,0.0,0.0
35714,9.0,0.1,0.0,0.0
36168,3.0,0.1,0.0,0.0
36661,5.0,0.1,0.0,0.0
37189,5.0,0.1,0.0,0.0
37519,0.0,0.1,0.0,0.0
37936,4.0,0.1,0.0,0.0
38338,3.0,0.1,0.0,0.0
38802,5.0,0.1,0.0,0.0
39096,0.0,0.1,0.0,0.0
39365,0.0,0.1,0.0,0.0
39712,2.0,0.1,0.0,0.0
40087,0.0,0.1,0.0,0.0
40355,2.0,0.1,0.0,0.0
40898,3.0,0.1,0.0,0.0
41085,0.0,0.1,0.0,0.0
41517,5.0,0.1,0.0,0.0
41814,0.0,0.1,0.0,0.0
42316,3.0,0.1,0.0,0.0
42752,2.0,0.1,0.0,0.0
43048,0.0,0.1,0.0,0.0
43350,0.0,0.1,0.0,0.0
43871,4.0,0.1,0.0,0.0
44377,5.0,0.1,0.0,0.0
44929,4.0,0.1,0.0,0.0
45413,9.0,0.1,0.0,0.0
45758,2.0,0.1,0.0,0.0
46028,0.0,0.1,0.0,0.0
46371,2.0,0.1,0.0,0.0
46668,0.0,0.1,0.0,0.0
46886,0.0,0.1,0.0,0.0
47222,0.0,0.1,0.0,0.0
47432,0.0,0.1,0.0,0.0
48072,5.0,0.1,0.0,0.0
48576,5.0,0.1,0.0,0.0
48769,0.0,0.1,0.0,0.0
49095,3.0,0.1,0.0,0.0
49607,2.0,0.1,0.0,0.0
49933,0.0,0.1,0.0,0.0
50174,0.0,0.1,0.0,0.0
50409,0.0,0.1,0.0,0.0
50835,0.0,0.1,0.0,0.0
51455,9.0,0.1,0.0,0.0
51782,3.0,0.1,0.0,0.0
52574,9.0,0.1,0.0,0.0
52794,0.0,0.1,0.0,0.0
53211,5.0,0.1,0.0,0.0
53523,0.0,0.1,0.0,0.0
53770,0.0,0.1,0.0,0.0
54262,4.0,0.1,0.0,0.0
54586,0.0,0.1,0.0,0.0
54884,0.0,0.1,0.0,0.0
55477,9.0,0.1,0.0,0.0
55791,0.0,0.1,0.0,0.0
56175,2.0,0.1,0.0,0.0
56555,0.0,0.1,0.0,0.0
56888,0.0,0.1,0.0,0.0
57338,4.0,0.1,0.0,0.0
57737,4.0,0.1,0.0,0.0
58180,2.0,0.1,0.0,0.0
58698,4.0,0.1,0.0,0.0
59233,5.0,0.1,0.0,0.0
59522,0.0,0.1,0.0,0.0
59726,0.0,0.1,0.0,0.0
59932,0.0,0.1,0.0,0.0
60392,2.0,0.1,0.0,0.0
60936,3.0,0.1,0.0,0.0
61381,3.0,0.1,0.0,0.0
61910,0.0,0.1,0.0,0.0
62301,2.0,0.1,0.0,0.0
62749,2.0,0.1,0.0,0.0
63063,0.0,0.1,0.0,0.0
63344,0.0,0.1,0.0,0.0
64199,9.0,0.1,0.0,0.0
64615,0.0,0.1,0.0,0.0
65193,4.0,0.1,0.0,0.0
65600,3.0,0.1,0.0,0.0
65981,2.0,0.1,0.0,0.0
66286,0.0,0.1,0.0,0.0
66795,2.0,0.1,0.0,0.0
67131,0.0,0.1,0.0,0.0
67585,3.0,0.1,0.0,0.0
67894,0.0,0.1,0.0,0.0
68225,0.0,0.1,0.0,0.0
68559,2.0,0.1,0.0,0.0
69060,5.0,0.1,0.0,0.0
69415,0.0,0.1,0.0,0.0
69909,2.0,0.1,0.0,0.0
70349,2.0,0.1,0.0,0.0
70698,0.0,0.1,0.0,0.0
70917,0.0,0.1,0.0,0.0
71403,0.0,0.1,0.0,0.0
71662,0.0,0.1,0.0,0.0
72316,9.0,0.1,0.0,0.0
72849,9.0,0.1,0.0,0.0
73423,0.0,0.1,0.0,0.0
73740,0.0,0.1,0.0,0.0
74130,0.0,0.1,0.0,0.0
74571,0.0,0.1,0.0,0.0
74893,0.0,0.1,0.0,0.0
75147,1.0,0.1,-4.482551451315335e-06,1.2802400908255092e-06
75453,3.0,0.1,-7.1555661968010496e-06,1.8847110191180014e-06
75576,0.0,0.1,-1.7521854470965738e-06,1.2384900838302128e-06
75801,3.0,0.1,-3.330647226728613e-06,2.069144877543173e-06
76250,2.0,0.1,-4.817024328303142e-06,2.8738774932655183e-06
76582,3.0,0.1,-3.623935433245168e-06,1.4332535744130908e-06
76983,1.0,0.1,2.226341398848506e-06,3.2400907248648506e-06
77217,0.0,0.1,6.439701608528503e-07,2.218441897474183e-06
77469,0.0,0.1,3.2170034213744575e-06,1.6186365248310344e-06
77813,4.0,0.1,5.115759625147798e-06,3.213555004179373e-06
78002,1.0,0.1,5.5917576408145374e-06,1.5982754556239262e-06
78278,1.0,0.1,5.381473298285822e-06,1.9925212804790226e-06
78497,2.0,0.1,4.631970203753369e-06,1.3935375660676525e-06
78619,0.0,0.1,2.1869480729017416e-06,1.385554788930264e-06
78741,0.0,0.1,3.6680619745500018e-06,7.90892028671073e-07
79223,3.0,0.1,2.820305383542248e-05,4.534819328893149e-06
79688,3.0,0.1,3.325014992042719e-05,3.910243439575257e-06
79938,2.0,0.1,1.8031732160001064e-05,1.7606963822857893e-06
80122,1.0,0.1,1.2588222288842275e-05,1.3663956990999108e-06
80244,0.0,0.1,1.0014628634665674e-05,3.935757568650109e-07
80505,4.0,0.1,2.1953720077210557e-05,2.1264985106241263e-06
80636,0.0,0.1,1.115038426147312e-05,1.54393073744676e-06
80790,0.0,0.1,1.30085536716952e-05,7.745812932964396e-07
81023,2.0,0.1,1.954476375849553e-05,2.115320653214869e-06
81441,3.0,0.1,3.529142262372358e-05,3.442573274125606e-06
81671,2.0,0.1,2.5247460693773044e-05,2.292514099415419e-06
81888,2.0,0.1,2.2503319771428298e-05,7.677995764147763e-07
82259,0.0,0.1,4.01115394275242e-05,2.8444113311480914e-06
82594,0.0,0.1,3.448369427420318e-05,3.0207347221917184e-06
82916,3.0,0.1,4.183803733307601e-05,3.944293890704052e-06
83134,0.0,0.1,2.672067195034401e-05,1.3170407452196633e-06
83331,2.0,0.1,2.3756191388196897e-05,9.385211593343891e-07
83651,2.0,0.1,3.848581281680616e-05,2.4238395863748347e-06
83870,2.0,0.1,2.8516204844033374e-05,1.48723656103611e-06
84036,0.0,0.1,2.509443783303014e-05,1.4849212885139562e-06
84327,3.0,0.1,4.450006542280791e-05,2.037941686620924e-06
84708,0.0,0.1,6.140100880039477e-05,3.6913688512844067e-06
85013,1.0,0.1,5.0037145322255364e-05,2.570296919605915e-06
85210,2.0,0.1,3.446736304696464e-05,1.4652347352474334e-06
85376,1.0,0.1,2.954587597096956e-05,2.0059786237355973e-06
85719,3.0,0.1,6.058989850964292e-05,2.919290617700111e-06
85924,1.0,0.1,3.912500504019829e-05,1.6393548910783847e-06
86138,1.0,0.1,3.7720346519172e-05,1.634358806840695e-06
86502,0.0,0.1,6.524108866896012e-05,1.631196529845801e-06
86762,3.0,0.1,5.512379877742776e-05,2.511762519620058e-06
86884,0.0,0.1,2.60680042501203e-05,1.0815074904295088e-06
87073,0.0,0.1,3.642946994764802e-05,1.0823480501940485e-06
87307,1.0,0.1,4.707570758390166e-05,2.1463517216066903e-06
87543,0.0,0.1,4.802746339425101e-05,1.6230481840613451e-06
87762,0.0,0.1,4.9333009423244855e-05,1.7871972253198799e-06
88342,4.0,0.1,0.00013009679442024607,3.891396666936953e-06
88464,0.0,0.1,2.7885614965245097e-05,1.5847803552967633e-06
88716,2.0,0.1,5.944757295477739e-05,2.120819776304126e-06
88975,4.0,0.1,6.350374893379801e-05,1.764180093014188e-06
89149,1.0,0.1,4.402703456380478e-05,1.0521011936014627e-06
89318,1.0,0.1,4.2644683075201024e-05,1.0557553685042525e-06
89691,8.0,0.1,9.74566984294395e-05,3.491713352442865e-06
90179,2.0,0.1,0.0001297428854339675,5.029254244787482e-06
90577,2.0,0.1,0.00010867545179391725,1.4044198970102077e-06
90892,4.0,0.1,8.767246606536395e-05,2.595289453001698e-06
91168,3.0,0.1,7.24285399190174e-05,1.041570512886801e-06
91290,0.0,0.1,3.386984889093868e-05,6.896579466962766e-07
91440,1.0,0.1,4.833302218613662e-05,1.3818881454749902e-06
91595,1.0,0.1,5.00004626926464e-05,2.0414293078156785e-06
91951,0.0,0.1,0.00011282156659391783,3.2445918022590235e-06
92169,0.0,0.1,6.828106668425914e-05,1.8731515775463465e-06
92413,0.0,0.1,7.430135298534799e-05,1.87572265164438e-06
92807,3.0,0.1,0.00012369650690263764,3.2130372113763617e-06
93080,0.0,0.1,9.080988803632689e-05,2.3688893735032843e-06
93333,0.0,0.1,8.282832282540265e-05,3.010764806802638e-06
93543,0.0,0.1,6.708294559740588e-05,1.5203778129884608e-06
93867,0.0,0.1,0.00010473664972986272,1.8529339249872422e-06
94149,2.0,0.1,9.687043095175921e-05,1.8365365109607137e-06
94271,0.0,0.1,4.093504439126518e-05,3.347029572871275e-07
94728,3.0,0.1,0.00015613183013597117,2.6726973499419166e-06
94949,1.0,0.1,7.456843074003938e-05,8.553190565961525e-07
95314,3.0,0.1,0.00013043307307148875,2.4768866340418663e-06
95577,2.0,0.1,9.630626310520353e-05,2.785165351300247e-06
