total_steps,total_reward,epsilon,total_q_values,total_loss
53410,2.0,0.1,0.0,0.0
53678,0.0,0.1,0.0,0.0
54086,0.0,0.1,0.0,0.0
54544,4.0,0.1,0.0,0.0
54889,2.0,0.1,0.0,0.0
55331,2.0,0.1,0.0,0.0
55877,5.0,0.1,0.0,0.0
56218,4.0,0.1,0.0,0.0
56615,3.0,0.1,0.0,0.0
56923,2.0,0.1,0.0,0.0
57138,0.0,0.1,0.0,0.0
57393,0.0,0.1,0.0,0.0
57653,0.0,0.1,0.0,0.0
57885,0.0,0.1,0.0,0.0
58105,0.0,0.1,0.0,0.0
58332,0.0,0.1,0.0,0.0
58788,4.0,0.1,0.0,0.0
59088,0.0,0.1,0.0,0.0
59287,0.0,0.1,0.0,0.0
59574,2.0,0.1,0.0,0.0
59808,0.0,0.1,0.0,0.0
60042,0.0,0.1,0.0,0.0
60344,0.0,0.1,0.0,0.0
61022,0.0,0.1,0.0,0.0
61352,0.0,0.1,0.0,0.0
61543,0.0,0.1,0.0,0.0
61873,2.0,0.1,0.0,0.0
62248,2.0,0.1,0.0,0.0
62598,2.0,0.1,0.0,0.0
63036,3.0,0.1,0.0,0.0
63302,0.0,0.1,0.0,0.0
63783,2.0,0.1,0.0,0.0
64169,0.0,0.1,0.0,0.0
64654,5.0,0.1,0.0,0.0
65074,2.0,0.1,0.0,0.0
65680,5.0,0.1,0.0,0.0
66028,0.0,0.1,0.0,0.0
66381,0.0,0.1,0.0,0.0
66698,2.0,0.1,0.0,0.0
67174,9.0,0.1,0.0,0.0
67530,0.0,0.1,0.0,0.0
68036,5.0,0.1,0.0,0.0
68380,0.0,0.1,0.0,0.0
68698,0.0,0.1,0.0,0.0
68988,0.0,0.1,0.0,0.0
69232,0.0,0.1,0.0,0.0
69649,2.0,0.1,0.0,0.0
70049,2.0,0.1,0.0,0.0
70502,5.0,0.1,0.0,0.0
70926,4.0,0.1,0.0,0.0
71319,4.0,0.1,0.0,0.0
71631,0.0,0.1,0.0,0.0
71945,2.0,0.1,0.0,0.0
72226,0.0,0.1,0.0,0.0
72663,0.0,0.1,0.0,0.0
72885,0.0,0.1,0.0,0.0
73637,5.0,0.1,0.0,0.0
73985,0.0,0.1,0.0,0.0
74228,0.0,0.1,0.0,0.0
74589,3.0,0.1,0.0,0.0
74823,0.0,0.1,0.0014986755230870002,0.0003718179271259926
74985,0.0,0.1,0.008875220994620273,0.002395709998763553
75286,5.0,0.1,0.007689281194269706,0.0015949243424258981
75531,3.0,0.1,0.009330583669777428,0.0018451216870048206
75801,3.0,0.1,0.010044556414639508,0.0019166280163589093
76155,1.0,0.1,0.010679057920299008,0.0016357032694630281
